"Row.names","logFC","logCPM","PValue","FDR"," DMSO"," Indole"," TCDD"
"Acta1",-2.32560334234154,8.48326048373072,2.71782395702263e-13,3.01923063385644e-09,10317.6582831702,2062.8020666449,6595.21511214231
"Cryab",-5.90867625642849,5.89032858842666,6.265273239311e-12,3.4800460207753e-08,3082.60088900269,48.1502308161954,86.4318180683684
"S100a4",-4.80370119180935,3.13589390992754,1.28228393604813e-10,4.74829741518622e-07,399.139223456634,13.3244640261911,46.2256135872406
"4732456N10Rik",-2.7744933709303,3.41299941261789,4.08460794857219e-10,1.1189271026493e-06,370.025560464834,54.4029718052899,130.831823890726
"Gm8989",2.03060148207402,1.71284167993341,5.03612882639884e-10,1.1189271026493e-06,23.9955670514686,102.830626903766,41.4937458772133
"Akr1b3",-3.81345005054082,5.33206489821043,1.89862718495587e-09,3.51530823294579e-06,1880.85865014975,130.796994399455,154.484683538308
"Lbh",0.876099504306846,5.50967679876405,3.30758343205021e-09,5.24913490666369e-06,601.832818252902,1154.15155561065,644.462366373552
"Loxl4",-2.71797880084553,3.13712916288499,7.31475347111975e-09,1.01574495388337e-05,331.494180748516,49.4833995004684,85.1707890484264
"Dhx9",0.817151227912755,8.39230591143874,9.21889981077673e-09,1.13791953331021e-05,4289.42119151055,7885.26924561169,5740.10692193213
"Hmox1",-1.57409070867611,6.17749691319835,1.46861802902601e-08,1.631487768445e-05,1995.27084133253,675.44457976605,1130.94849859158
"1700016C15Rik",-1.32185322173649,3.46590226889887,3.633526135044e-08,3.13832298110401e-05,295.90105095306,121.351512262617,164.045827551133
"Cdkn1c",-1.82126522107089,3.67383390975823,3.50926486127406e-08,3.13832298110401e-05,397.179861432421,114.122945352735,158.998453177897
"Muc1",-1.74909098372619,4.75624490257778,3.67253566966893e-08,3.13832298110401e-05,779.753102085616,235.163767909484,394.851191905167
"Lcp1",-1.97324719553325,4.1919544730524,4.12325065050652e-08,3.27179939117692e-05,613.719793718346,155.193262770005,194.361066046497
"Cnn2",-1.12811182256504,5.91258717453084,5.16634194184779e-08,3.82619284213247e-05,1450.13035345517,681.51992700317,1026.15288568951
"Ptprt",-2.03826345901528,2.4852801735758,5.95354170621963e-08,4.13361842589961e-05,188.047105926865,46.2092127286533,56.5187746391887
"8430408G22Rik",-1.41793463932685,2.39356336196051,1.22380019096497e-07,6.17963469155903e-05,141.066749861901,55.0675327657673,69.6992452688512
"Csrp1",-1.35356772100192,5.89718874824071,1.20246088449275e-07,6.17963469155903e-05,1624.06976488127,641.854705010011,877.200056165965
"Cxcl16",-1.20663557741626,6.16374413408266,1.13947135452969e-07,6.17963469155903e-05,1859.72294772262,811.976458388991,1090.84735626675
"Glipr1",-2.58760460276259,2.68294258775737,1.21573278652881e-07,6.17963469155903e-05,235.629928836502,38.6248707873149,63.1473742212483
"Kdelr3",-0.986474310120357,4.10965388324105,1.19964603478079e-07,6.17963469155903e-05,408.49974218232,212.177216980807,286.705569465932
"Slc2a6",-1.65774561059911,3.62751317619683,1.13935797485894e-07,6.17963469155903e-05,218.602140558047,69.7381764762829,370.576550081241
"Nos2",-1.18479090304324,5.62522332773418,1.79952826429779e-07,8.69172151655831e-05,1314.13457020483,585.164718786524,687.659805014562
"9130208D14Rik",1.02309379230682,6.08434548442649,2.02592067039578e-07,9.37748030309446e-05,842.526064378405,1787.63232835503,1004.34139457045
"Cdh13",-1.82756908336959,3.26601807584057,2.44966639887164e-07,0.00010885337610026,278.648993284363,77.8597339643705,146.071410071177
"Sh3bgr",-2.04672269708898,3.51631807868312,3.10677205141703e-07,0.00013274281045843,384.20562249509,92.9661729728181,125.005608473208
"Fbxo6",-0.813497932330963,5.24188429744033,3.32735353773793e-07,0.000136902112780484,850.864732672731,500.982694339239,643.700910007272
"Adm",-0.983229245999382,5.32841249730788,3.46019504720561e-07,0.000137106099553441,921.123736857002,476.860480527365,697.757051733228
"Akr1c14",1.35734301790608,6.48410471137298,3.70256817589634e-07,0.000137106099553441,874.360241466773,2394.11919475098,1527.05944083493
"Ciart",-0.966103110974673,4.18929146774164,3.6289371423298e-07,0.000137106099553441,423.740338204942,224.021289119442,301.844148594133
"Klk15",-1.66310414174559,1.83704416801191,4.39076800528156e-07,0.000157345296034429,96.9439913180631,31.1429009832168,56.0284048723147
"Gm8979",1.15550374233201,3.88432828356576,5.48424370080727e-07,0.000189541915010437,171.358489323177,387.824528880194,219.238889863984
"Pacsin3",-1.01823675312724,3.81760623069995,5.63046466409615e-07,0.000189541915010437,316.375945620742,163.144288345543,256.304554129683
"Gm14137",-1.03745472474149,5.62001255933345,7.1282956538325e-07,0.000232906577701251,1152.05094744332,566.403915002681,871.225924217773
"Il3ra",-1.32804660803402,2.32192870741227,7.92178187932288e-07,0.000251437356849708,121.32915772787,50.4772350730487,87.3861608410067
"Ces1f",-1.96244843715254,5.80763568637676,8.7513390593493e-07,0.00027005173780642,1969.54668397068,509.999008758024,474.408454185955
"Eif4ebp1",-0.829968676721687,6.3655421419309,9.52716741325458e-07,0.000286046764307689,1724.64127418903,1015.46415158175,1580.82361308782
"Mal",-1.18874951033499,5.75599764905896,1.10851214944053e-06,0.000318212914843904,1322.21640741018,580.178137215279,952.693759057086
"Nupr1",-1.33055678864593,9.27934713188983,1.11713958762375e-06,0.000318212914843904,15329.790208474,6369.15245833879,10119.2994919011
"Tgm1",-1.90865805282593,1.49455100690945,1.15820053697251e-06,0.00032166124413069,84.086350051497,23.0609972889681,35.4582917704869
"Egr1",-1.0883221304662,6.86651669497165,1.29378081323049e-06,0.000350551489126282,2683.5930419319,1296.0306471136,2088.97997567344
"3632451O06Rik",-1.44504366104052,2.12111906615752,1.34383090903232e-06,0.000355443275439048,116.380723476717,43.7503784646658,65.1658899766864
"Isyna1",-1.19951449606389,6.07983738653733,1.5718794589185e-06,0.000406093230444781,1783.32534182737,806.04471984712,979.545215840088
"Lyz1",-1.43730021240019,3.32756089091148,1.64872700857325e-06,0.000407015740849782,273.129633400901,102.44515479279,155.78224261043
"Sema5a",0.729426509203767,5.62639086880301,1.64030561043207e-06,0.000407015740849782,624.691786947466,1074.72988234938,939.455063900448
"Ttc9",-1.42114716999069,1.86338226252846,1.76375731639274e-06,0.000425947391908846,87.3261279909394,32.9898390806172,66.0834169991061
"Me1",-1.55029199022761,5.37470176941657,1.81501877482589e-06,0.000429000927011507,1279.27067891786,434.160649192488,490.821037102916
"Cftr",0.932799058178445,6.61224754251911,1.97153036038309e-06,0.000456286057781161,1128.19088092794,2287.10935712449,1837.15839959828
"Mthfd2",-0.737800455130846,6.36654417634373,2.07756438947541e-06,0.000471013526585353,1734.40645736495,1074.31482484431,1565.63935274662
"Ms4a10",-0.942052848462481,3.77699742645085,2.20741272952624e-06,0.00049044296024614,315.386880903889,170.514641976879,227.443030835845
"Igfbp7",-1.27198669280236,1.50053165946579,2.4124870353636e-06,0.000525496440703025,74.964118505773,32.418070177041,36.0070689079836
"Isg20",-0.863166324226995,4.92607384232602,3.27620968774024e-06,0.000699911796559737,684.56271112905,391.783230630289,509.194269659003
"Gsn",-0.70197612859032,8.28306928110006,3.72420058727228e-06,0.000780606496679392,6801.81992991556,4331.05801071033,5258.75116998994
"Kcne3",0.778948621356011,6.17461551556425,4.19240989180816e-06,0.000862471879409202,937.429573797136,1705.43488512809,1213.02691763478
"Acvr1c",1.20130771109058,1.92337848969438,4.51285536832767e-06,0.000901686195896266,40.9729181088962,97.3018766732719,56.0517106809558
"Gys1",-0.7447303408959,7.00781043220685,4.65996192790888e-06,0.000901686195896266,2640.19869612652,1641.57997153754,2481.22223006608
"Mt1",-1.0275933655182,7.89580432894692,4.57472234338983e-06,0.000901686195896266,5534.02887072316,2814.06452737546,4081.22967395198
"Rhof",-0.731621289113365,5.98438552016091,4.70769640489544e-06,0.000901686195896266,1335.71477850293,838.845600140251,1148.1687307979
"Ctsh",-0.823487980456449,7.22033614061342,4.95584228226149e-06,0.000933126303621065,3553.90047178295,2065.28893855316,2273.55247290883
"Ugt2b35",1.11416118998488,2.62078476766683,5.37882158417044e-06,0.000995888816309157,64.9043819057333,148.042471354856,112.254358874435
"Akr1b8",-1.07587221354097,6.91698773685452,5.96639702664548e-06,0.00103644584455096,3032.94901848513,1460.63893096618,1907.59279531502
"P4ha2",-0.667139869162521,5.73148748358338,5.90900576882343e-06,0.00103644584455096,1135.05252497923,739.035243055748,920.787435596768
"Rgcc",0.997002469650352,2.22427110977941,5.71121535107929e-06,0.00103644584455096,54.9621218119941,115.351598913295,73.1507416995291
"Smox",-0.738680509030414,6.77069108592204,5.97106256650117e-06,0.00103644584455096,2340.79292994054,1444.71165742883,1989.55450160785
"Cldn2",0.84805362036462,6.50807475210913,6.09060265984153e-06,0.00103910302116102,1135.27469730689,2188.45110979303,1498.32137432282
"Ecscr",-1.02995111801644,3.79141949599025,6.17344490022748e-06,0.00103910302116102,337.94639819342,170.266436354866,206.022672966097
"Csf2ra",-1.06140489283238,4.00807281285555,6.62885312591271e-06,0.00107435914964191,368.401512726349,180.546670369836,284.091257561091
"Hist1h1c",-0.909100806938022,7.14812842278115,6.51044211474424e-06,0.00107435914964191,3398.78511837425,1835.43920485323,2302.68780592279
"Mt2",-1.63222534458049,6.51927778037274,6.67303819653362e-06,0.00107435914964191,2839.50373472019,900.393886289697,1195.72567389943
"Rcor2",-0.910587487676861,3.52359926169986,7.01175999817611e-06,0.00111276631171055,254.148045410967,141.616108528396,201.501620934284
"Ckap2",0.914775271199017,3.27316152480455,7.66527082104378e-06,0.00117783420396248,114.275960687588,226.580632332987,170.45559366522
