sample_id,Indole2,Indole3,Indole1,DMSO1,DMSO2,DMSO3,TCDD1,TCDD2,TCDD3
0610005C13Rik,236,280,284,172,333,175,335,224,243
0610007P14Rik,2609,2830,3399,2576,3456,2772,2943,3629,3296
0610009B22Rik,333,415,393,308,152,354,141,419,400
0610009E02Rik,4,7,5,6,8,6,3,10,14
0610009L18Rik,11,12,15,86,8,40,16,20,20
0610009O20Rik,637,783,775,858,954,822,1002,922,789
0610010F05Rik,364,408,389,493,264,380,288,418,457
0610010K14Rik,24,22,27,22,13,15,10,22,15
0610011F06Rik,618,724,848,677,787,712,625,871,704
0610012D04Rik,0,0,0,4,0,0,0,0,1
0610012G03Rik,228,306,346,255,305,327,256,408,302
0610025J13Rik,0,1,0,0,0,0,0,0,0
0610030E20Rik,900,837,962,1059,743,853,870,978,958
0610031J06Rik,1596,1892,1984,2446,2187,2004,1624,1867,1809
0610031O16Rik,3,7,3,16,1,14,5,4,7
0610037L13Rik,507,547,575,598,662,602,619,746,597
0610038B21Rik,0,0,0,1,0,0,2,0,0
0610039K10Rik,1,3,0,0,2,0,0,1,2
0610040B10Rik,18,19,14,19,18,13,18,27,13
0610040F04Rik,11,5,11,9,4,7,6,14,10
0610040J01Rik,1500,1915,2024,1666,2665,1687,2421,1815,1736
0610043K17Rik,1,2,0,2,0,3,2,0,0
1010001B22Rik,1,0,0,5,4,0,3,0,1
1010001N08Rik,40,32,40,46,40,41,32,46,32
1100001G20Rik,0,0,0,0,0,0,0,0,0
1110001J03Rik,182,196,248,225,109,266,95,270,234
1110002E22Rik,2,1,1,25,0,2,0,1,0
1110002J07Rik,1,6,7,32,7,14,11,6,12
1110002L01Rik,41,50,50,42,19,29,30,44,27
1110004E09Rik,283,382,414,341,426,360,359,431,399
1110004F10Rik,783,899,1000,877,694,859,732,1042,1049
1110007C09Rik,692,851,936,834,1621,992,1588,1065,858
1110008E08Rik,0,0,0,0,0,0,0,0,0
1110008F13Rik,468,601,673,408,565,459,532,622,565
1110008L16Rik,270,329,331,269,335,249,321,359,342
1110008P14Rik,142,189,201,250,199,262,147,226,170
1110012L19Rik,164,209,200,180,236,173,163,216,214
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,0,1,0,1,0,0,0,0,0
1110018N20Rik,0,0,0,1,2,1,0,1,0
1110019D14Rik,54,72,54,55,71,69,77,64,85
1110020A21Rik,23,22,25,36,44,38,24,25,34
1110025L11Rik,0,0,0,0,0,0,0,0,0
1110028F11Rik,9,9,15,20,16,20,13,16,18
1110028F18Rik,2,6,6,20,11,6,3,4,2
1110032A03Rik,246,308,302,249,420,259,356,296,282
1110032F04Rik,2,1,1,3,2,0,1,4,1
1110034G24Rik,62,78,98,85,58,79,47,97,88
1110035H17Rik,14,8,12,36,20,20,27,16,5
1110036E04Rik,0,0,0,3,2,0,2,0,1
1110037F02Rik,1152,1243,1287,1406,1033,1190,1058,1371,1494
1110038B12Rik,988,1097,1172,1210,975,1124,1020,1326,1186
1110038F14Rik,252,326,321,275,343,323,346,362,276
1110046J04Rik,10,19,16,13,5,5,1,13,11
1110051M20Rik,55,46,38,82,78,43,70,50,51
1110054M08Rik,110,101,126,155,180,134,114,150,116
1110057K04Rik,1028,1206,1407,1120,869,1127,815,1271,1228
1110057P08Rik,0,0,0,0,0,0,0,0,0
1110058L19Rik,207,214,265,226,90,196,63,231,230
1110059E24Rik,754,900,966,727,551,719,525,829,850
1110059G10Rik,253,329,349,302,255,294,201,326,304
1110065P20Rik,27,34,49,42,36,36,34,49,45
1190002F15Rik,30,52,31,37,47,30,25,45,49
1190002N15Rik,731,843,809,808,578,778,467,838,870
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,0,2,3,2,0,3,0,0,2
1190007I07Rik,116,126,171,98,174,109,170,159,117
1200007C13Rik,0,0,0,0,0,0,0,0,0
1200014J11Rik,722,852,855,870,794,808,876,963,956
1300002E11Rik,353,321,339,533,332,356,292,380,393
1300002K09Rik,404,368,435,315,294,304,331,462,332
1300017J02Rik,1,0,2,2,0,0,1,2,1
1500002C15Rik,9,9,14,19,10,10,6,14,5
1500004A13Rik,37,30,34,44,37,46,40,47,44
1500009C09Rik,1,0,0,1,2,2,6,0,1
1500009L16Rik,77,101,120,80,94,104,47,88,89
1500011B03Rik,68,69,91,90,100,111,78,94,77
1500011K16Rik,202,236,277,181,250,212,202,344,208
1500012F01Rik,762,761,882,948,758,840,505,1101,976
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,76,81,96,274,64,97,62,122,82
1500015L24Rik,1,0,1,9,2,2,3,1,1
1500015O10Rik,0,0,2,0,1,0,0,1,1
1500017E21Rik,1,0,1,0,0,0,0,0,0
1500026H17Rik,8,9,12,10,13,10,7,11,25
1500035N22Rik,4,8,5,10,17,7,26,10,10
1520401A03Rik,5,3,1,6,4,2,2,0,1
1600002D24Rik,1,1,1,3,0,3,2,3,0
1600002H07Rik,78,106,91,121,124,91,84,120,99
1600002K03Rik,78,124,116,157,117,118,94,121,122
1600010F14Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,1019,1161,1242,1170,799,1025,719,1124,1218
1600012P17Rik,3,1,0,1,0,0,0,1,1
1600014C10Rik,186,231,213,138,176,162,161,195,215
1600014C23Rik,5,5,11,9,12,11,4,9,10
1600014K23Rik,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,5,0,0,0,0,0
1600016N20Rik,255,230,267,365,306,330,266,338,245
1600020E01Rik,125,126,169,103,75,89,72,135,132
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,2,2,0,0,1,0,0,1,2
1600029O15Rik,0,0,0,1,0,2,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,1,0,3,6,1,4,2,3,2
1700001F09Rik,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,1,0,0,0,1,1,1,1,0
1700001J03Rik,0,1,1,1,1,2,1,0,0
1700001J04Rik,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,3,2,3,0,4,1,8,4
1700001L05Rik,217,213,223,370,149,320,184,280,229
1700001L19Rik,2,0,0,3,6,2,2,5,2
1700001O22Rik,76,78,97,90,137,109,126,104,99
1700001P01Rik,3,3,2,1,3,0,1,0,2
1700003D09Rik,34,51,42,58,15,33,25,47,42
1700003E16Rik,54,69,82,71,49,60,60,87,66
1700003E24Rik,0,0,0,0,0,0,0,0,0
1700003F12Rik,1,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,1,0,0,0,1,1
1700003H04Rik,0,0,0,0,0,0,0,0,0
1700003M02Rik,2,2,6,3,1,3,0,1,4
1700003M07Rik,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,2,0,0,0,2,1,0,0
1700006J14Rik,11,15,22,13,11,14,4,17,17
1700007B14Rik,0,0,0,0,0,0,0,0,0
1700007G11Rik,2,5,5,1,10,5,1,3,6
1700007J10Rik,2,2,1,5,1,1,1,1,1
1700007K09Rik,0,0,0,1,0,0,0,0,0
1700007K13Rik,4,7,6,10,5,5,8,7,3
1700007L15Rik,30,16,22,31,11,26,16,34,36
1700007M16Rik,0,0,0,0,0,0,0,0,0
1700007P06Rik,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,0,0,0,0,0,0,0,0
1700008I05Rik,0,1,0,1,0,0,1,2,0
1700008O03Rik,1,1,0,3,0,4,2,2,0
1700008P02Rik,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,10,0,0,0,1,1
1700009P17Rik,21,27,28,58,40,36,41,26,24
1700010B08Rik,0,0,0,0,0,0,0,0,1
1700010D01Rik,0,0,0,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,0,0,0,0,0
1700010I14Rik,58,76,70,81,78,51,64,63,80
1700010K23Rik,0,0,0,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,1,1,1,2,0
1700010L04Rik,0,1,0,0,0,0,1,0,0
1700011A15Rik,0,0,0,8,0,1,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,2
1700011H14Rik,32,38,58,9,53,23,32,33,35
1700011I03Rik,3,0,1,2,3,2,1,2,0
1700011L22Rik,1,0,0,2,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,1,1,0,2,2,1,1,1
1700012C08Rik,0,0,0,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,0,1,0,0,0,0,0,1
1700012P22Rik,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,3,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0
1700014D04Rik,0,1,0,3,0,0,2,2,0
1700015E13Rik,2,0,1,1,0,1,4,2,1
1700015F17Rik,0,1,0,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0
1700015O11Rik,1,1,3,3,3,1,0,2,0
1700016C15Rik,101,130,131,402,190,304,138,201,135
